"era.id","elevation","network","longitude","latitude"
"RAWS_CHPU1",12120,"RAWS",-110.07333,40.81028
"CNRFC_SKLC1",2129,"CNRFC",-116.945,33.20889
"CWOP_AT291",6936,"CWOP",-106.71667,41.37083
"RAWS_PKLC2",9380,"RAWS",-105.51722,39.84444
"CWOP_F3960",7060,"CWOP",-104.725,38.967
"RAWS_TS735",7783,"RAWS",-110.80681,42.89892
"SNOTEL_1128",11499,"SNOTEL",-106.37085,38.2856
"CNRFC_AVKC1",2800,"CNRFC",-117.923,34.5392
"HADS_VNBC2",7906,"HADS",-107.54306,37.4775
"RAWS_ACRI1",5418,"RAWS",-113.388917,43.62175
"HADS_LTCM8",3916,"HADS",-111.0475,48.79944
"CWOP_D1564",8810,"CWOP",-105.37083,39.55633
"SNOTEL_761",7225,"SNOTEL",-111.29797,42.56248
"CWOP_C3065",7700,"CWOP",-105.48333,40.38333
"SNOTEL_467",8739,"SNOTEL",-106.96861,40.84758
"HADS_TERC2",8605,"HADS",-106.33417,37.37444
"SNOTEL_513",10885,"SNOTEL",-110.62121,40.73785
"CWOP_F9040",4491,"CWOP",-111.86167,41.685
"SNOTEL_904",10781,"SNOTEL",-108.02468,37.44146
"CWOP_F1962",14052,"CWOP",-105.042,38.84083
"RAWS_TT726",5650,"RAWS",-114.3559,47.982767
"CWOP_G0136",5029,"CWOP",-109.12133,31.86083
"CNRFC_TCTC1",2900,"CNRFC",-119.9088,34.5208
"CWOP_C7260",430,"CWOP",-120.42267,34.884
"HADS_BRKW1",1036,"HADS",-123.54528,46.72806
"SNOTEL_857",10290,"SNOTEL",-105.12262,37.21423
"HADS_VAEC1",782,"HADS",-121.68472,37.56139
"CNRFC_CMCC1",331,"CNRFC",-120.97222,38.20361
"HADS_KEOO3",4020,"HADS",-121.96111,42.13333
"CWOP_E7853",7457,"CWOP",-104.604,39.0495
"CWOP_AU458",1348,"CWOP",-123.00867,45.36383
"SNOTEL_531",11611,"SNOTEL",-106.05999,39.36092
"HADS_MOHC2",8188,"HADS",-105.39306,37.39278
"CNRFC_WSGC1",3040,"CNRFC",-116.64472,33.27472
"CWOP_D3059",2047,"CWOP",-113.22167,53.68133
"CWOP_F4558",572,"CWOP",-117.58767,33.90583
"CWOP_E6796",3773,"CWOP",-120.78583,44.17583
"HADS_PRSC2",6480,"HADS",-107.35167,38.94417
"HADS_MDIC2",10531,"HADS",-105.88944,40.51778
"CWOP_D4791",6820,"CWOP",-105.6085,34.2495
"HADS_LPPC1",6690,"HADS",-118.77028,36.56278
"RAWS_KSEC2",10201,"RAWS",-106.03667,39.89056
"RAWS_XLLC1",9569,"RAWS",-119.62167,38.28556
"SNOTEL_1198",7545,"SNOTEL",-115.45768,40.53373
"CIMIS_87",-55,"CIMIS",-115.446258,32.806183
"RAWS_COMN2",6590,"RAWS",-116.183,39.38686
"HADS_APKC1",3168,"HADS",-118.27389,35.61333
"CWOP_E3541",4140,"CWOP",-104.22103,34.4901
"HADS_TRHC1",1912,"HADS",-122.79333,40.72667
"RAWS_HUMC1",7950,"RAWS",-118.675,36.72667
"CWOP_E6261",4342,"CWOP",-110.1839,31.49638
"HADS_SAWC1",11919,"HADS",-118.54583,37.16194
"RAWS_BKFO3",3630,"RAWS",-124.03944,42.69361
"RAWS_SMFO3",6113,"RAWS",-120.246944,42.198889
"RAWS_CEEC1",1707,"RAWS",-118.71956,34.18657
"CWOP_D8628",5744,"CWOP",-109.823,40.458
"CNRFC_UTYC1",11362,"CNRFC",-118.36667,36.63333
"CWOP_AT003",6193,"CWOP",-104.8,41.2
"ASOSAWOS_72290403178",158.8008,"ASOSAWOS",-116.994,32.576
